,height,width,NumContours,NumEdges,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03,area,perimeter,aspectRatio,rectangularity,circularity,equiDiameter,x,y,MA,ma,angle,redMean,greenMean,blueMean,redVar,greenVar,blueVar,contrast,correlation,inverseDifferenceMoments,entropy
0,4128,2322,1,2498,2236178.0,2583694530.833333,5114114478.333333,3275188592654.1665,5916773534808.666,12277700373646.332,4455200849674140.0,7532902258092856.0,1.4220314369525448e+16,3.0665049584210708e+16,289971213421.35205,7892574650.129883,581776839160.877,957524357463.5,24343724344508.5,-1520550225800.375,-74950520488724.0,0.0579885360592971,0.0015783596043884047,0.11634391848104816,0.00012805127413951874,0.003255525455115496,-0.0002033456301024625,-0.010023253791083911,2236178.0,6847.671806693077,0.6153846153846154,1.6966556329594513,20.969086169428028,1687.3619228448847,1157.153564453125,2243.340576171875,1417.6474609375,2202.6787109375,179.28070068359375,11.55184546701921,15.943313014542396,6.713951881731199,25.344505388253065,31.70918387081496,19.26610455436888,39.274653140023325,0.9973994590280151,0.8864741116848972,2.878951648149191
1,4128,2322,1,2925,2594800.5,3133410834.833333,6165473451.0,4138335397614.75,7425036251619.875,15505093790022.582,5857320209493862.0,9820586535250884.0,1.861247566690406e+16,4.079642626834752e+16,354513304220.3154,-20222570104.82422,855388398418.9316,3777083487307.0,36379315937488.375,-14954626322423.25,-109991407747368.0,0.05265317837234914,-0.003003505307701869,0.12704436584867976,0.00034825443196768085,0.0033542435717288824,-0.001378845586205898,-0.01014142137845517,2594800.5,7473.855568885803,0.6097375427919361,1.6241275581687302,21.527095075157156,1817.636544334035,1209.3702392578125,2361.385986328125,1479.0516357421875,2432.581787109375,0.829477846622467,13.946770109301658,18.806970129833278,8.068657712043214,27.140211279035295,33.64369305992277,20.45157474942796,42.43954039656793,0.9973992175016433,0.8807368883839561,3.270359238487105
2,4128,2322,1,2988,3151898.5,3598726251.333333,7402215961.166666,4696489807744.583,8457655667658.708,18498912966641.082,6711117856793226.0,1.1098219613661478e+16,2.1138318606759976e+16,4.8541303828977864e+16,587591430453.6694,6067236911.625,1114850270538.8574,7049635080465.0,54684910422345.0,-11583812368267.25,-139728812045016.0,0.059146766380872726,0.000610726136547335,0.11222047341688349,0.0003997017758158664,0.0031005371989696134,-0.0006567815669132215,-0.007922375225037947,3151898.5,7681.575474739075,0.6641025641025641,1.5703202371523068,18.720971431698338,2003.2777668589652,1132.4039306640625,2322.34423828125,1705.607666015625,2462.49609375,178.0611114501953,19.744521250225347,27.31198347538543,10.456285283503261,32.13291329632512,41.210213262919595,22.38556361961121,44.2590051137914,0.9973011968323718,0.8389471662305503,3.8050495728220755
3,4128,2322,1,3505,3549808.5,4204679326.0,8122546577.333333,5768401975280.583,9614394741438.041,19962565875198.914,8685216934851597.0,1.3288839850376106e+16,2.36390776360086e+16,5.172736362172168e+16,788040855943.6348,-6604157005.501953,1376841349228.164,-14181559342926.0,105430943629516.0,24028293600537.0,-251154966477264.0,0.06253726502222892,-0.0005240920109490186,0.10926323388035555,-0.0005973263511530381,0.004440744443822693,0.001012070153484359,-0.010578630746601285,3549808.5,8476.403908371925,0.7030324154757756,1.6301648384694554,20.240365985337757,2125.9719091363863,1179.6712646484375,2268.12451171875,1854.098876953125,2697.734375,0.5981131792068481,25.47652019526738,31.35176901595123,19.960896029886026,36.44538490931049,43.50921371240588,30.806465043048547,52.45283420726175,0.9967629603675507,0.8105293135752971,4.494938082679884
4,4128,2322,1,3232,3100287.0,3662832970.1666665,7202517229.5,4793595936943.666,8434406972312.5,18082324311268.0,6751497482264442.0,1.1015533871533404e+16,2.1039320086796204e+16,4.8047605851235576e+16,466143231003.87305,-75004439084.59766,1349597811674.7832,-13344235349520.0,56387230489492.75,24461741434277.5,-231555202009088.0,0.048497079220234406,-0.007803387418758325,0.1404108171801451,-0.0007884768464450026,0.0033317776936332283,0.0014453819375529794,-0.013682006550088955,3100287.0,7855.617108941078,0.5431522825724758,1.5777990876328547,19.90484112028589,1986.8084981769994,1188.9429931640625,2314.81298828125,1521.1842041015625,2742.088623046875,6.272704124450684,22.39407625242874,26.327006298032302,15.390337160894443,36.367018148575355,41.213422861890606,28.51056405204941,45.663364075129415,0.9971182474131208,0.8466273970003926,3.986210599984622
5,4128,2322,1,3538,3628176.5,4343172564.5,8537755938.0,5901245555751.75,10176729854736.791,21775729398392.914,8762282855380916.0,1.387587799684024e+16,2.5804171632926572e+16,5.886635906615611e+16,702174362543.3965,-43541224224.93164,1684844498814.7734,16992584109363.0,93422765056811.25,-57927910391623.0,-305361279900712.0,0.05334186016870723,-0.0033076825615903764,0.1279920550449303,0.0006777014473667342,0.003725904352659211,-0.0023102918580642554,-0.012178476212128553,3628176.5,8527.967390418053,0.5984481086323957,1.5779670586588057,20.044842860327687,2149.3110047358937,1200.1815185546875,2325.89404296875,1737.32080078125,2848.555908203125,2.0447211265563965,27.48214083021186,32.94809360581963,19.294288621143227,39.0060101511449,45.29162876997833,30.404611467710296,50.3980271115893,0.9968678654919695,0.8086407632392205,4.6368501357750365
6,4128,2322,1,3385,3641209.0,4373121857.333333,8546018995.333333,6045350777583.5,10148145398351.5,21577059540837.5,9140012069660270.0,1.3987463847372804e+16,2.5404273487553824e+16,5.751672687624226e+16,793195578833.1562,-115693469913.9707,1519314800396.0312,-25772554778576.0,76754713505814.75,33119699903194.5,-256981523244480.0,0.05982587645956353,-0.008726048685789925,0.11459259478651035,-0.0010186933065945412,0.003033828565686156,0.0013090986476765678,-0.010157524540998787,3641209.0,8594.078008532524,0.6588393156658839,1.6078956192846936,20.283970740691448,2153.1677336997172,1213.47412109375,2314.234130859375,1812.17822265625,2773.6689453125,7.856106281280518,24.622149464341753,31.092787371719115,17.726118743698628,34.598316072643264,41.83517997002178,27.047488114510983,49.31342127014527,0.9970811807204356,0.8329570106479369,4.270126842615169
7,4128,2322,1,3482,4376845.0,5338282552.333333,9708699470.333332,7621413792713.166,11826095842999.832,23759160349315.164,1.2000200610134978e+16,1.7022083112493402e+16,2.891840091309644e+16,6.216104539495867e+16,1110499970417.3154,-15260428087.74414,2223363352791.246,-4242203499998.0,153519775545994.0,7897267055970.0,-405136571770024.0,0.0579690545718575,-0.000796607485073512,0.11606148128269608,-0.0001058494438708538,0.003830552415679594,0.00019704885113937452,-0.01010877503015155,4376845.0,9260.283184409142,0.6569140745303357,1.5823843430598983,19.592387817126426,2360.671966872224,1214.87548828125,2201.44482421875,1991.26123046875,2985.3505859375,0.0,35.24038926196342,41.91379547419693,19.22663474667655,41.515547239991776,47.955395019660315,26.782406752628564,58.57704544397126,0.9963847949762661,0.719929914354169,5.397741778301535
8,4128,2322,1,3444,4115493.5,4958280436.666666,9212818690.0,6967938810116.083,11162306586482.375,22544553946263.414,1.08042552777552e+16,1.5864240923515466e+16,2.7434488474643404e+16,5.878087217860149e+16,994282214951.6426,62850670154.4707,1921017980330.4492,13604096814290.0,114581885752334.25,-8219050587883.5,-287346167479656.0,0.05870374810990421,0.003710787393965572,0.11341946374591472,0.0003959268126449254,0.003334733752049849,-0.00023920312731161262,-0.008362778784141775,4115493.5,8615.545165657997,0.6699155295646524,1.5421810288365174,18.036140380611194,2289.106609640652,1209.305908203125,2225.586669921875,1944.58642578125,2805.09619140625,176.5233612060547,32.04150527228599,36.00298553522425,23.89128194920177,39.92855427437856,43.82428227770046,32.393993618741376,52.84640914357444,0.9968081202266899,0.7383825938426777,5.125808797023869
9,4128,2322,1,3315,3410539.0,4035072980.833333,7543014741.833333,5401893262256.0,8948465272196.832,18143794341212.664,7895611336556805.0,1.2070370686119926e+16,2.1535149636286096e+16,4.634515961806817e+16,627922356000.0674,24182342490.060547,1461073106969.3418,18716038368167.0,65899972078255.0,-38082585310881.75,-245921779356488.0,0.05398335915310225,0.002078989651077375,0.12561048914534345,0.0008712772545439731,0.003067804501006149,-0.0017728372705217582,-0.011448258896216092,3410539.0,8576.871940255165,0.5912010276172126,1.6809290261744552,21.569239430933468,2083.8505521417596,1174.88671875,2157.26953125,1707.750732421875,2765.53564453125,178.7879180908203,23.281818896934613,28.62097348666947,12.999913721297466,34.79128166148647,40.816802167307394,24.15807084870901,49.44206008654635,0.997067867408041,0.8250734637228927,4.0688469686927
10,4128,2322,1,3643,3698047.5,4387402451.833333,8067209145.166666,6030007121707.583,9582690227782.375,19115901424074.25,9102036975697324.0,1.328115391675809e+16,2.2737061240623584e+16,4.809954375989909e+16,824746704053.9043,11668443190.230469,1517462412173.8633,-9003229537310.0,99139107542326.5,6845817426384.5,-221995669831768.0,0.060308096104496264,0.0008532335926258896,0.11096166682269124,-0.0003423474596713966,0.0037697607820121764,0.0002603119464615084,-0.00844137687593192,3698047.5,8754.619198679924,0.6839574029543113,1.5672597499085665,20.725357722932202,2169.9079047989585,1174.306640625,2163.247802734375,1892.400146484375,2610.9296875,177.3049774169922,26.031423079041723,31.700878206604838,15.544110951698949,36.415668603497686,42.65285288586526,24.984046355760636,57.548388988676216,0.9966161036762833,0.7591681520461826,4.738420082238253
11,4128,2322,1,3761,4170885.0,4910037456.833333,9381677666.333332,6862871196047.333,11046801919464.5,23000322966823.832,1.0644205668270786e+16,1.5583567383936674e+16,2.706661304694527e+16,5.991747798324707e+16,1082690772107.0068,2529840605.123047,1897876882844.621,15991482446578.0,140780385220208.0,-21143049081812.75,-355618644152664.0,0.062236907393321356,0.00014542421485175985,0.10909669763939947,0.00045010950770445744,0.003962521304550564,-0.0005951097683018363,-0.01000953685093372,4170885.0,9156.013201832771,0.6754905014014326,1.6698276265109204,20.09946995712804,2304.4599624516627,1174.8001708984375,2207.035400390625,1996.04345703125,2944.730712890625,179.455322265625,32.01010138947312,39.22204590903324,21.445665491523613,40.266946331924665,47.49712655260035,30.213298633062998,56.52184771358978,0.9965447171205863,0.7413217724564559,5.23591051717895
12,4128,2322,1,3160,3947797.5,4688439563.333333,8854271740.666666,6601396314451.416,10463475172978.957,21393406882086.75,1.0295902882714824e+16,1.476750753372815e+16,2.516566907153274e+16,5.4713991750997976e+16,1033363623050.8936,-51937011522.88086,1534706414910.2266,1561939148332.0,85004250128141.0,-8359331296857.75,-152159127349616.0,0.06630456556781095,-0.0033324774639811416,0.0984726381351858,5.04402163806991e-05,0.0027450703020801283,-0.0002699506442755677,-0.004913724914321454,3947797.5,8412.345024943352,0.7570661896243291,1.4981062225202788,17.925830496292974,2241.983918677075,1191.3551025390625,2229.5068359375,2035.9215087890625,2541.250732421875,7.301140785217285,26.623852503689015,33.99338669050338,13.9731824509745,35.07140205480188,42.74659787700606,23.291541288756264,50.81038035810474,0.9970854298110461,0.7616480494108011,4.717659245416288
13,4128,2322,1,1524,837155.0,972157282.8333333,1765790158.3333333,1135955997007.6665,2048112867150.9165,4269028004179.1665,1335636209030807.8,2390378718342389.5,4925617796834952.0,1.1324022760281888e+16,7025533036.371582,-2434238676.767578,544490871549.17725,175342544443.0,-11345744092.007812,-21578308408743.125,22506458047870.0,0.010024611008639965,-0.0034733728687132174,0.7769245631296409,0.00027344665541884707,-1.7693685152414453e-05,-0.03365136671599584,0.035098815852505655,837155.0,7098.826673865318,0.11279311368358563,1.529250855576327,60.1959495500615,1032.4237749455235,1136.3089599609375,2130.782470703125,409.6916809082031,3120.31689453125,0.5073397159576416,168.12856455190993,168.82544044912498,167.0219366991834,47.13712605480323,43.315069565587585,48.98594548194718,18.42457057145104,0.9958490979357408,0.5082953637685159,9.279712056101829
14,4128,2322,1,1616,1031321.0,1153140608.6666665,2260983251.833333,1300230466533.8333,2544201548006.25,5693992002417.0,1478315103437747.0,2885366825174809.0,6419858447981073.0,1.5704631443259198e+16,10880920314.828613,16151015529.71875,737198467648.6465,169100655724.5,-1268947890500.1016,-17524049452663.875,-10754290958718.0,0.010230053565275397,0.015184906168042285,0.693101281332505,0.0001565527277357124,-0.0011747870093178278,-0.016223696655911706,-0.009956280637928264,1031321.0,7445.537350058556,0.1202513567552128,1.4291583318869683,53.75244606782658,1145.9139062406969,1113.1126708984375,2187.120849609375,418.57293701171875,3364.50341796875,178.25796508789062,168.43820754795718,169.71419058266397,166.89218824072404,50.25142671122174,44.36888742948461,54.31549055334364,21.009015106101057,0.9956811491307802,0.497284932135337,9.511687665225761
15,4128,2322,1,1583,964745.5,1160858613.5,2112311090.1666665,1405968020854.5833,2545341462807.0415,5265698290482.583,1713542061207877.2,3087088945591910.5,6366053026060455.0,1.4339963643216508e+16,9130491643.88208,3640544366.323242,640791367733.4316,-203695631798.25,-40413852384.03516,14003556975200.75,4686286078480.0,0.009809991709054285,0.003911477217549988,0.6884796843235252,-0.00022281776414009695,-4.420774343073568e-05,0.015318154973068486,0.00512621589824759,964745.5,7311.554595351219,0.1165750650853341,1.4440813665365633,55.41236585275757,1108.310480508642,1207.1807861328125,2181.73779296875,391.851318359375,3235.44384765625,179.61553955078125,170.81748319495355,172.14316098875602,167.73471980182813,45.109608410126874,39.064404111447644,53.15614204404261,20.970708038371697,0.9947746385550912,0.5291504500839741,9.133510099711394
16,4128,2322,1,1454,866203.5,1013430817.0,1807265532.6666665,1192319485740.75,2138422047634.2915,4404019000469.083,1410521705461976.2,2543707511433064.0,5250502712266692.0,1.1824789444905826e+16,6637344251.726318,23978287817.666504,633301489439.7119,14487499058.0,-81081123696.62305,-2118455783731.375,-6517692572360.0,0.008846153577549807,0.03195790492659771,0.8440547942074305,2.0746440039067522e-05,-0.00011611007975481636,-0.003033678602265678,-0.009333489348589437,866203.5,7364.559648156166,0.10851609228140131,1.5443149329228063,62.61431500940608,1050.1831030767942,1168.37158203125,2085.54638671875,323.6529541015625,3426.47900390625,177.8901824951172,171.28030740256662,172.0996377129112,169.86899418855037,46.31993059924339,41.44001587442287,49.46075544932328,20.730994961190515,0.9951175836294485,0.5175374429855855,9.24962702260283
17,4128,2322,1,1356,975465.0,1194626822.6666665,2086807165.1666665,1471094433693.8333,2553154158096.083,5194655887805.333,1821370168964975.8,3140801500949718.0,6350505010232358.0,1.4252402486532642e+16,8065780246.856689,-2504746365.9819336,730360249734.3223,2857966074.75,-168119163287.19922,-539274051202.75,14590641059582.0,0.008476625623893593,-0.0026323302368064204,0.7675624946494132,3.041079970116437e-06,-0.00017889079390494825,-0.0005738260961196627,0.015525483899011872,975465.0,7601.630715727806,0.10118555279845602,1.364589195921945,59.238198744492564,1114.450812061746,1224.30029296875,2136.63232421875,370.6595458984375,3433.82421875,0.3932715356349945,165.58656914982407,166.2674845303434,164.31202802315565,46.63611435611435,41.9717680858547,50.996178409201725,19.84502159951647,0.9954174781740143,0.52597948113222,9.430538693386579
18,4128,2322,1,1554,972298.0,1129120590.5,2134005674.6666665,1320720501428.5,2487035984954.75,5322864721557.333,1555613144141579.0,2920043259370054.5,6232623087617554.0,1.4460966086202846e+16,9483300600.082275,8835117000.709473,639135844701.127,-152981475579.5,797441990012.7031,12447239073023.375,-27249008589606.0,0.010031381151435571,0.009345736246183744,0.6760742420931076,-0.00016411200996501444,0.0008554617957222962,0.013352867823054669,-0.02923157560256551,972298.0,7213.110945224762,0.11868390129259694,1.4143976435208137,53.511340667286426,1112.6402216650758,1167.5177001953125,2199.78125,403.5992431640625,3211.07470703125,178.92404174804688,170.2629377366144,171.51089323391355,165.7345927311393,40.773279265991924,35.1992559159105,54.16120945695319,22.708403401335318,0.9933767764917716,0.5205597113822175,9.333015248965832
19,4128,2322,2,1859,1057234.5,1207769371.6666665,2264607487.333333,1394060256933.9165,2583537923999.708,5484602039156.583,1624787026171833.2,2978207993687763.5,6276556948832815.0,1.4441863031255892e+16,14322029382.607422,-3516851500.1533203,633788835760.1826,-489766667782.5,151370873045.29688,26093326811691.25,-21377364909042.0,0.012813326920860893,-0.0031463814798696225,0.56702463976572,-0.0004261484450057805,0.00013170855921960635,0.022703935112970922,-0.018600552903193908,1057234.5,7055.142469763756,0.14225181598062955,1.468813210314268,47.08041145901333,1160.2210019898396,1166.63037109375,2132.140380859375,507.898193359375,3014.572021484375,0.22660981118679047,169.64037357113287,171.5824723198726,166.43184420674504,49.46828095080028,42.93979892302676,57.11352068121135,21.78110186099793,0.9953724338684861,0.47355729187636864,9.848929862675602
20,4128,2322,2,1518,819845.0,971498856.8333333,1715229784.5,1159156618615.3333,2043024412669.5,4039891314746.0,1392580171020387.8,2449005283489051.0,4813097010206135.0,1.0352085819935568e+16,7951172673.14502,10513663871.575195,451392008613.8452,160335319154.0,-1028542434212.0098,-18080215781882.188,11321474828018.0,0.011829535182605377,0.0156419388409146,0.6715685681282401,0.0002634509807564006,-0.0016900238479736706,-0.029708055624657313,0.01860259899558028,819845.0,6528.022631645203,0.13884351519111401,1.5867938451780519,51.97943450197532,1021.6942177351301,1172.1475830078125,2100.970703125,413.2030334472656,2849.598388671875,178.58604431152344,169.97869729800559,170.7498137757146,168.38593120906197,44.689132361609786,39.40089095911009,48.676505183066816,20.697996082882078,0.9947793683276142,0.5199760629940521,9.345962703346308
21,4128,2322,3,28,182.0,387536.0,730542.0,825196491.0,1555557635.1666665,2932372409.333333,1757143983006.0,3312315374308.7334,6243962633314.3,11770453445624.201,8846.516483426094,907.0787541866302,905.1355304718018,4855.451171875,795.1825414896011,-431.06935421493836,-190.267578125,0.2670727111286709,0.027384336257294722,0.027325671128843192,0.010865535150445861,0.0017794605588093365,-0.0009646475795355793,-0.00042578104174592125,182.0,64.62741661071777,2.5454545454545454,1.6923076923076923,22.948917460303733,15.222667215103916,2129.2900390625,4014.028076171875,8.836705207824707,28.01030158996582,96.41230773925781,165.48130986302237,166.47277004503601,164.34700386511895,47.04154984653987,42.5551409253447,51.26715728542257,21.71262706210267,0.9951486640840795,0.5124449927768684,9.6141517969161
22,4128,2322,1,1540,1015448.5,1165472600.3333333,2169437702.333333,1347503789615.25,2499836691228.958,5371950759125.25,1568980332795563.0,2901815126661882.5,6224080489647683.0,1.4632781353847866e+16,9842271450.87085,9882547616.946777,737092423812.9902,-198745261051.75,278315916237.53125,16241723928943.125,6471205600262.0,0.009545079148555416,0.009584139155680203,0.7148355499251172,-0.00019127227613366594,0.0002678510093839069,0.015631021780261083,0.006227882959024345,1015448.5,7504.299762964249,0.11345720720720721,1.4096785804499194,55.45777548780197,1137.0616455768807,1153.656005859375,2121.8681640625,401.48553466796875,3344.914306640625,179.19845581054688,167.85914141110644,169.1885067587418,163.8982796005849,44.67540232445763,38.783062079143335,55.1534226985589,22.83496985924764,0.9942802927390691,0.49242230107607954,9.708874046834794
23,4128,2322,1,1369,799112.0,935222346.5,1712647428.5,1101219208757.5,2026070993955.6665,4156404485545.1665,1304520454460652.0,2410128539663459.5,4949003176862831.0,1.0983288013161262e+16,6703249301.2960205,21713473596.867188,485878683970.8408,43898600487.75,-815229857199.6699,-8421321096942.125,-7328084840074.0,0.010497117701072693,0.03400274669799031,0.7608736457255305,7.690092150302101e-05,-0.0014281076516989458,-0.014752346212230557,-0.012837231045925145,799112.0,6836.660154700279,0.12011173184357542,1.560374515712441,58.48982629577136,1008.6927178642688,1168.907958984375,2170.55029296875,353.4757995605469,3086.3720703125,177.24179077148438,167.7259503593868,168.69704480316355,164.75394555532185,39.94045951637776,34.95158860957942,48.65614298346122,19.707567338872046,0.9939348180188461,0.5287428395085728,9.386949541932411
24,4128,2322,1,1292,753142.5,875292500.5,1486925230.5,1021767206036.75,1726494048892.375,3393622960241.4165,1197969209517743.8,2013498155944547.0,3938435139718775.0,8513167464292552.0,4513550278.984863,-1591277670.505127,457994389157.6201,-6639834080.0,-72677637574.67773,693603701472.6875,4723939038218.0,0.007957267782257749,-0.0028053797470900116,0.8074317936075814,-1.3488521174401018e-05,-0.0001476413177679108,0.0014090243974827256,0.009596467468292983,753142.5,6853.623575329781,0.09917607567897467,1.4141082198919859,62.368218646957466,979.250128323046,1162.5621337890625,1973.614013671875,308.9698181152344,3110.80419921875,0.20127540826797485,166.6686525374076,166.83730006710334,165.61970830912938,44.07928811308489,40.241942724958584,46.87867493567328,15.801992587420937,0.9959425468910932,0.5684415899789448,8.960921137613587
25,4128,2322,1,1790,728340.5,836721427.3333333,1511680784.6666665,967777268168.25,1749295267859.875,3543034078446.583,1126887820367381.0,2036738528496338.0,4103546421200662.5,9049124677803564.0,6547256987.036743,12668369014.257812,405519695090.95703,57117440501.0,-1003560175558.3223,-19296660067378.438,12184953110732.0,0.012342139985414011,0.02388096023577908,0.7644393451432595,0.0001261631686865276,-0.0022167017745451873,-0.04262319455866766,0.02691458653018242,728340.5,6675.627751708031,0.13822963438101346,1.8450958034051381,61.18567603939972,962.9911352822418,1091.6033935546875,2113.533447265625,476.25872802734375,2852.3212890625,178.80592346191406,166.77933705406326,166.43050088803423,164.90251925465216,43.026205010717824,39.459731646254504,45.685656510891285,17.708862263201787,0.9952641317794007,0.5151914688388977,9.305845712693745
26,4128,2322,1,1601,991662.5,1164071656.3333333,2110843986.0,1377479259935.5833,2469864164868.7915,5109755722128.916,1642529006456628.5,2913420130519995.0,5983312197136194.0,1.346984224412452e+16,11023614916.607666,-7968419346.377441,616631969609.9209,-317344017994.75,37614330298.82031,19103984355252.75,-31853045591266.0,0.01120975840389789,-0.008102973154411042,0.6270443457738328,-0.0003240563900808677,3.840993811374371e-05,0.019508066499703162,-0.032526792320243844,991662.5,7056.726168632507,0.12740384615384615,1.4229357266207001,50.21606062451976,1123.665390599414,1186.7652587890625,2109.407958984375,437.3236389160156,3100.789794921875,0.7822285890579224,167.4084049853441,168.63238366250692,164.2004568285159,46.20639110003313,40.28956159892337,54.50334750265972,22.153841776820727,0.994699370190087,0.47404191864468737,9.663746119631796
27,4128,2322,1,1438,895298.5,1047467595.1666666,1881106409.5,1233318000854.0833,2210680356012.458,4493523883302.75,1461249905607309.0,2614149957032917.0,5296875221178404.0,1.1723046330557032e+16,7817943695.225342,9852356176.015137,541142276652.0283,18008319913.0,-221053327509.27734,-1790326200342.0,7748038149262.0,0.009753417719528189,0.012291485977947969,0.6751118805200844,2.3743982035516297e-05,-0.0002914589624478192,-0.0023605463110385715,0.010215793561828416,895298.5,6972.902794003487,0.12031438935912939,1.4705531172005761,54.307444248618346,1067.6747887545505,1169.149658203125,2101.698486328125,365.9298095703125,3105.19970703125,178.92623901367188,171.55561898657265,172.9503614733356,168.31042524237324,42.84885193532064,37.20132183008506,52.56081700734364,22.956255359267193,0.9937726221780796,0.47465468517275466,9.595817042419235
28,4128,2322,1,1849,767097.5,966196244.8333333,1539785317.3333333,1223560634228.9165,1935229400538.875,3571976401345.4165,1557850464995717.0,2446064949633905.5,4457367792906980.0,9137763690857104.0,6589931638.9140625,-4204363040.029785,481184391887.2788,116246693187.0,618028101296.0449,-24829779966964.5,36028722657062.0,0.011199013668408083,-0.007144948040766367,0.8177308775024367,0.00022555589868994148,0.0011991728967225095,-0.0481777432215895,0.06990728677753967,767097.5,7108.858199357986,0.13165769000598443,1.916940154282865,65.8793242040018,988.2807656063542,1206.9990234375,2070.12158203125,465.8431396484375,2989.522705078125,1.5937191247940063,167.92151778321949,168.39527632971442,166.44914313876703,44.88391194976954,41.276631265199605,47.218949931385175,18.165705243836054,0.9955285470733705,0.4910976236253194,9.346162929756236
