,leaf,numContours,numEdges,area,perimeter,aspectRatio,rectangularity,circularity,equiDiameter,x,y,MA,ma,angle,redMean,greenMean,blueMean,redVar,greenVar,blueVar,contrast,correlation,inverseDifferenceMoments,entropy
0,papaya8.jpg,1,7752,4288841.5,16763.469180464745,0.8812758417011223,2.3558399162104733,65.52209937447941,2336.8189058849366,1596.1300048828125,2074.630615234375,2422.34765625,3096.728759765625,176.0170440673828,133.20036157852564,142.33213672645462,128.59231924926036,65.44517638406123,55.48385197927527,75.90795814516686,41.17277392045443,0.9947617584162598,0.41311348758063887,9.508422187634896
1,croton4.jpg,6,62,7316.5,331.2375888824463,0.9894736842105263,1.2205289414337457,14.996014527254356,96.51765190396428,1278.8612060546875,2060.068359375,81.37640380859375,130.03567504882812,42.470123291015625,168.7922885618853,171.75550764844527,162.3949482202592,66.34124206625741,59.54511759348977,76.76092574430487,27.73119786163074,0.9967468131169364,0.608185736909929,9.216123799829298
2,croton5.jpg,3,144,21730.0,602.5340518951416,1.2751677852348993,1.3028071790151863,16.707192070555784,166.3354902211043,1388.4552001953125,3007.3798828125,132.37380981445312,214.76502990722656,70.99528503417969,169.04253112292932,173.3883509771715,157.44559872203192,70.60531075708508,62.47526399366908,86.66010635346989,30.924678525333906,0.9967611212555612,0.6046948097943919,9.22892617686214
3,papaya9.jpg,1,5318,3325968.0,12662.210712432861,0.9971939670291126,2.437002701168502,48.20598999330406,2057.851788181967,1496.6627197265625,2315.61083984375,2284.248779296875,2600.675537109375,161.18873596191406,149.7635425912229,156.36038877588757,147.08955983419625,64.4506607623728,54.50101293564487,73.25301085235773,32.74022171095176,0.995655226871079,0.4490822887647503,9.136462457352245
4,croton18.jpg,6,86,8578.5,374.7523066997528,1.4880952380952381,1.2239902080783354,16.371077854728167,104.51069531158328,1490.3614501953125,2939.339599609375,76.85234069824219,168.005126953125,72.59093475341797,169.91960796710268,175.2723467055933,161.26993830916277,75.38166442171314,64.89905879043285,88.37595114318965,34.83692365886007,0.9966912836493786,0.6277225626700722,9.042778716116148
5,croton7.jpg,7,48,5516.0,282.2253956794739,1.1081081081081081,1.100072516316171,14.440024286881,83.80447081605585,1011.755126953125,3016.884033203125,79.13115692138672,106.34318542480469,110.04342651367188,169.2537960542569,172.83671656434242,164.20903149183076,74.1532277795948,66.40627243917166,81.20878832918484,35.74783518791655,0.9965637203158595,0.5823553088491992,9.397028450027275
6,croton6.jpg,1,3066,2669671.5,7829.737815618515,0.34672179562906086,1.4890086664220672,22.963422376620716,1843.6733238978209,1139.3590087890625,2010.70166015625,1123.7965087890625,3088.77099609375,177.89324951171875,169.3197987400597,172.54646937533803,165.60628440715368,75.68675246600372,67.96188140925759,81.77437458517358,30.555997964386602,0.9971508650174128,0.6070631656749873,9.17832086295716
7,croton19.jpg,18,26,4400.0,253.2548327445984,1.0,1.0820454545454545,14.576820524657842,74.84820637019111,985.5198974609375,3305.733642578125,75.27195739746094,93.4225082397461,137.31170654296875,161.10169786471167,165.949940825538,150.48516027181861,77.96785816240308,68.94938743891497,90.15877039337344,51.298755551436145,0.9955800828155831,0.585016979097252,9.527435365953878
8,hibiscus8.jpg,1,3444,4115493.5,8615.545165657997,0.6699155295646524,1.5421810288365174,18.036140380611194,2289.106609640652,1209.305908203125,2225.586669921875,1944.58642578125,2805.09619140625,176.5233612060547,32.04150527228599,36.00298553522425,23.89128194920177,39.92855427437856,43.82428227770046,32.393993618741376,52.84640914357444,0.9968081202266893,0.7383825938426777,5.125808797023869
9,croton2.jpg,5,56,6679.5,312.6101715564728,1.1341463414634145,1.141702223220301,14.630603991401653,92.22040738935455,1536.0377197265625,2465.31591796875,82.49312591552734,117.391357421875,61.84568405151367,168.78839809139407,172.87319346794064,161.0697485586136,76.55883528112736,68.41295899655621,86.94429085209735,37.38562064448872,0.996630895050568,0.5724509538125921,9.571183294836747
10,croton20.jpg,7,284,40230.0,1114.499563574791,0.6591639871382636,1.5847626149639573,30.875199532895838,226.32372143612255,1375.8204345703125,2176.492431640625,175.90724182128906,318.9463806152344,161.7642822265625,166.70070293668917,169.2830732244323,159.32849118893094,75.22007256241778,69.03419766032587,85.2293245349199,36.162413160525986,0.996724650103068,0.6122870485169292,9.191606487918522
11,croton3.jpg,12,92,9747.0,376.166521191597,0.875,1.1260900789986663,14.51741578592266,111.40137271386574,1230.7669677734375,2755.625,107.78172302246094,124.80142211914062,144.3665771484375,164.1089906581135,166.92512177086047,156.1417307653787,67.28225448492704,60.63020349410701,78.12010345071656,36.79487262825892,0.9958579988152125,0.5827607324295507,9.571554020953934
12,hibiscus9.jpg,1,3315,3410539.0,8576.871940255165,0.5912010276172126,1.6809290261744552,21.569239430933468,2083.8505521417596,1174.88671875,2157.26953125,1707.750732421875,2765.53564453125,178.7879180908203,23.281818896934613,28.62097348666947,12.999913721297466,34.79128166148647,40.816802167307394,24.15807084870901,49.44206008654635,0.9970678674080414,0.8250734637228927,4.0688469686927
13,croton1.jpg,13,16,3610.0,232.62741672992706,0.9838709677419355,1.047645429362881,14.990447372420817,67.7967164138053,1560.0789794921875,2571.12841796875,76.20561218261719,82.78765106201172,75.96327209472656,167.4746722452577,171.68036995723415,158.16152896293625,72.04848361408466,64.06866291753943,84.38736015374545,39.104671668519025,0.9961055721928871,0.5831043314192861,9.376252320520969
